index,prediction,anomaly_score,status,Temperature,Pressure,Current,Accelerometer1RMS,Volume Flow RateRMS,possible_reason,severity,recommended_action
332,-1,-0.0074014607662554,Anomaly,91.4555,0.710565,3.03718,0.20185,121.337,Possible rotor imbalance | Possible overheating | Possible motor overload,WARNING,Inspect rotor alignment and bearings
757,-1,-0.1028962483968392,Anomaly,90.8761,0.710565,226.503,0.203592,122.337,Possible rotor imbalance | Possible overheating | Possible motor overload,CRITICAL,Inspect rotor alignment and bearings
758,-1,-0.0355946009280215,Anomaly,90.6862,0.382638,2.24085,0.200596,122.665,Possible rotor imbalance | Possible overheating | Possible valve blockage,WARNING,Inspect rotor alignment and bearings
763,-1,-0.0300877078070146,Anomaly,90.3794,0.054711,1.35877,0.203029,123.0,Possible rotor imbalance | Possible overheating | Possible valve blockage,WARNING,Inspect rotor alignment and bearings
764,-1,-0.0144181020473505,Anomaly,90.767,0.054711,1.17219,0.202655,122.665,Possible rotor imbalance | Possible overheating | Possible valve blockage,WARNING,Inspect rotor alignment and bearings
765,-1,-0.0207277135116695,Anomaly,90.9213,-0.2732159999999999,1.13913,0.202981,123.0,Possible rotor imbalance | Possible overheating | Possible valve blockage,WARNING,Inspect rotor alignment and bearings
766,-1,-0.0097341274954242,Anomaly,90.8881,-0.2732159999999999,2.6515,0.202374,122.337,Possible rotor imbalance | Possible overheating | Possible valve blockage,WARNING,Inspect rotor alignment and bearings
773,-1,-0.0061777659226461,Anomaly,90.9322,0.382638,1.216,0.202426,122.337,Possible rotor imbalance | Possible overheating | Possible valve blockage,WARNING,Inspect rotor alignment and bearings
782,-1,-0.0054889083226248,Anomaly,90.9829,-0.2732159999999999,2.12068,0.2018829999999999,123.665,Possible rotor imbalance | Possible overheating | Possible valve blockage,WARNING,Inspect rotor alignment and bearings
790,-1,-0.0253848478842542,Anomaly,91.0889,0.054711,1.24731,0.203997,122.665,Possible rotor imbalance | Possible overheating | Possible valve blockage,WARNING,Inspect rotor alignment and bearings
792,-1,-0.0015977218088076,Anomaly,90.9665,-0.2732159999999999,2.54591,0.202675,123.0,Possible rotor imbalance | Possible overheating | Possible valve blockage,WARNING,Inspect rotor alignment and bearings
