index,prediction,anomaly_score,status,Temperature,Pressure,Current,Accelerometer1RMS,Volume Flow RateRMS,possible_reason,severity,recommended_action
757,-1,-0.0706308882657992,Anomaly,90.8761,0.710565,226.503,0.203592,122.337,Possible rotor imbalance | Possible overheating | Possible motor overload,WARNING,Inspect rotor alignment and bearings
758,-1,-0.0363235052015451,Anomaly,90.6862,0.382638,2.24085,0.200596,122.665,Possible rotor imbalance | Possible overheating | Possible valve blockage,WARNING,Inspect rotor alignment and bearings
763,-1,-0.0081160541619527,Anomaly,90.3794,0.054711,1.35877,0.203029,123.0,Possible rotor imbalance | Possible overheating | Possible valve blockage,WARNING,Inspect rotor alignment and bearings
764,-1,-0.0060604281980354,Anomaly,90.767,0.054711,1.17219,0.202655,122.665,Possible rotor imbalance | Possible overheating | Possible valve blockage,WARNING,Inspect rotor alignment and bearings
765,-1,-0.0067395886924794,Anomaly,90.9213,-0.2732159999999999,1.13913,0.202981,123.0,Possible rotor imbalance | Possible overheating | Possible valve blockage,WARNING,Inspect rotor alignment and bearings
2248,-1,-0.0330252767062652,Anomaly,89.6471,0.710565,226.281,0.2100949999999999,119.67,Possible rotor imbalance | Possible overheating | Possible motor overload,WARNING,Inspect rotor alignment and bearings
2249,-1,-0.0174043765133639,Anomaly,89.7743,0.382638,2.09619,0.211119,120.337,Possible rotor imbalance | Possible overheating | Possible valve blockage,WARNING,Inspect rotor alignment and bearings
3357,-1,-0.0050706185535337,Anomaly,89.2359,0.054711,230.819,0.212057,125.669,Possible rotor imbalance | Possible overheating | Possible valve blockage | Possible motor overload,WARNING,Inspect rotor alignment and bearings
3358,-1,-0.0023542231816963,Anomaly,89.3413,0.054711,2.73009,0.210227,125.332,Possible rotor imbalance | Possible overheating | Possible valve blockage,WARNING,Inspect rotor alignment and bearings
6998,-1,-0.0119666789515149,Anomaly,89.4128,0.382638,219.403,0.217426,126.675,Possible rotor imbalance | Possible overheating | Possible valve blockage | Possible motor overload,WARNING,Inspect rotor alignment and bearings
7350,-1,-0.0003325832051263,Anomaly,89.3436,0.382638,233.203,0.2178119999999999,127.0,Possible rotor imbalance | Possible overheating | Possible valve blockage | Possible motor overload,WARNING,Inspect rotor alignment and bearings
7351,-1,-0.0108921981771459,Anomaly,89.3846,0.054711,3.00266,0.212863,127.0,Possible rotor imbalance | Possible overheating | Possible valve blockage | Possible motor overload,WARNING,Inspect rotor alignment and bearings
8590,-1,-0.0074852580311577,Anomaly,88.6294,0.054711,232.028,0.21143,126.677,Possible rotor imbalance | Possible overheating | Possible valve blockage | Possible motor overload,WARNING,Inspect rotor alignment and bearings
8591,-1,-0.0005598214462079,Anomaly,88.4678,0.382638,2.382,0.212394,127.0,Possible rotor imbalance | Possible overheating | Possible valve blockage,WARNING,Inspect rotor alignment and bearings
9401,-1,-0.0621716303290464,Anomaly,88.8333,0.054711,2.0785400000000003,0.0809684,75.0,Possible rotor imbalance | Possible overheating | Possible valve blockage,WARNING,Inspect rotor alignment and bearings
9402,-1,-0.0362063660809595,Anomaly,88.9111,0.710565,0.983799,0.0807209,75.9813,Possible rotor imbalance | Possible overheating,WARNING,Inspect rotor alignment and bearings
9404,-1,-0.0279991198052862,Anomaly,88.8907,0.382638,1.09053,0.0807549,75.0189,Possible rotor imbalance | Possible overheating | Possible valve blockage,WARNING,Inspect rotor alignment and bearings
9405,-1,-0.0334236638733185,Anomaly,88.9437,0.382638,1.19995,0.0803943999999999,75.9813,Possible rotor imbalance | Possible overheating | Possible valve blockage,WARNING,Inspect rotor alignment and bearings
9406,-1,-0.0185777690274709,Anomaly,88.8887,0.054711,1.92474,0.0810309999999999,75.0,Possible rotor imbalance | Possible overheating | Possible valve blockage,WARNING,Inspect rotor alignment and bearings
9407,-1,-0.0243895066396656,Anomaly,88.6363,0.382638,1.1526,0.0810765,75.0,Possible rotor imbalance | Possible overheating | Possible valve blockage,WARNING,Inspect rotor alignment and bearings
9408,-1,-0.0370655237286595,Anomaly,88.6354,-0.2732159999999999,0.905878,0.0809347,75.0189,Possible rotor imbalance | Possible overheating | Possible valve blockage,WARNING,Inspect rotor alignment and bearings
9409,-1,-0.0322298825745279,Anomaly,88.8926,-0.2732159999999999,1.91867,0.080695,76.0,Possible rotor imbalance | Possible overheating | Possible valve blockage,WARNING,Inspect rotor alignment and bearings
9410,-1,-0.0217391085608043,Anomaly,88.8231,0.054711,1.82777,0.0817192,76.0,Possible rotor imbalance | Possible overheating | Possible valve blockage,WARNING,Inspect rotor alignment and bearings
9411,-1,-0.0560255429006473,Anomaly,88.7715,0.382638,0.991046,0.080109,75.9813,Possible rotor imbalance | Possible overheating | Possible valve blockage,WARNING,Inspect rotor alignment and bearings
9412,-1,-0.0274787865279881,Anomaly,88.7046,0.054711,1.6817400000000002,0.0820927,75.0,Possible rotor imbalance | Possible overheating | Possible valve blockage,WARNING,Inspect rotor alignment and bearings
9413,-1,-0.0416902460108457,Anomaly,88.7,-0.2732159999999999,1.07474,0.0813105,75.0,Possible rotor imbalance | Possible overheating | Possible valve blockage,WARNING,Inspect rotor alignment and bearings
9414,-1,-0.0590940976398014,Anomaly,88.6371,0.382638,2.09081,0.0800972,75.0189,Possible rotor imbalance | Possible overheating | Possible valve blockage,WARNING,Inspect rotor alignment and bearings
9415,-1,-0.0406284451830351,Anomaly,88.6956,0.054711,1.12725,0.0811703999999999,76.0,Possible rotor imbalance | Possible overheating | Possible valve blockage,WARNING,Inspect rotor alignment and bearings
9416,-1,-0.0339368026798164,Anomaly,88.5736,0.054711,1.18238,0.0801936,75.9813,Possible rotor imbalance | Possible overheating | Possible valve blockage,WARNING,Inspect rotor alignment and bearings
9417,-1,-0.0314843764707772,Anomaly,88.6664,0.054711,2.10927,0.0812224,75.0189,Possible rotor imbalance | Possible overheating | Possible valve blockage,WARNING,Inspect rotor alignment and bearings
9418,-1,-0.0275012095609972,Anomaly,88.5772,0.054711,1.1801,0.0814728999999999,75.9813,Possible rotor imbalance | Possible overheating | Possible valve blockage,WARNING,Inspect rotor alignment and bearings
9419,-1,-0.0399194042994174,Anomaly,88.5999,0.054711,2.20308,0.0801659,75.0,Possible rotor imbalance | Possible overheating | Possible valve blockage,WARNING,Inspect rotor alignment and bearings
9420,-1,-0.0500326426283839,Anomaly,88.6441,0.054711,2.2181900000000003,0.081778,75.0,Possible rotor imbalance | Possible overheating | Possible valve blockage,WARNING,Inspect rotor alignment and bearings
9421,-1,-0.0537847647587499,Anomaly,88.7828,0.054711,1.88792,0.0806386,75.0189,Possible rotor imbalance | Possible overheating | Possible valve blockage,WARNING,Inspect rotor alignment and bearings
9422,-1,-0.0534349491484892,Anomaly,88.5993,0.054711,2.18586,0.0809803,75.9813,Possible rotor imbalance | Possible overheating | Possible valve blockage,WARNING,Inspect rotor alignment and bearings
9423,-1,-0.037901443085371,Anomaly,88.7473,-0.2732159999999999,1.37543,0.0810016,75.0189,Possible rotor imbalance | Possible overheating | Possible valve blockage,WARNING,Inspect rotor alignment and bearings
9424,-1,-0.044815319529475,Anomaly,88.5554,0.054711,1.70246,0.0802319,75.0189,Possible rotor imbalance | Possible overheating | Possible valve blockage,WARNING,Inspect rotor alignment and bearings
9425,-1,-0.0520136493359154,Anomaly,88.8971,0.382638,2.18614,0.0807201,75.9813,Possible rotor imbalance | Possible overheating | Possible valve blockage,WARNING,Inspect rotor alignment and bearings
9426,-1,-0.0449381998678192,Anomaly,89.016,0.382638,1.96727,0.0812831,75.0189,Possible rotor imbalance | Possible overheating | Possible valve blockage,WARNING,Inspect rotor alignment and bearings
9427,-1,-0.0334622522872094,Anomaly,88.874,0.054711,1.7995900000000002,0.0805046,76.0,Possible rotor imbalance | Possible overheating | Possible valve blockage,WARNING,Inspect rotor alignment and bearings
9428,-1,-0.0308469026970039,Anomaly,89.1211,-0.2732159999999999,1.52757,0.0812913,75.9813,Possible rotor imbalance | Possible overheating | Possible valve blockage,WARNING,Inspect rotor alignment and bearings
9429,-1,-0.037522868155792,Anomaly,88.7179,0.054711,1.3905299999999998,0.0810401,75.0189,Possible rotor imbalance | Possible overheating | Possible valve blockage,WARNING,Inspect rotor alignment and bearings
9430,-1,-0.0412092515254323,Anomaly,89.0628,0.054711,0.965702,0.0799845,75.9813,Possible rotor imbalance | Possible overheating | Possible valve blockage,WARNING,Inspect rotor alignment and bearings
9431,-1,-0.0520718432375179,Anomaly,88.809,0.054711,1.42133,0.0815354,75.0189,Possible rotor imbalance | Possible overheating | Possible valve blockage,WARNING,Inspect rotor alignment and bearings
9432,-1,-0.0557351485707691,Anomaly,89.0289,0.054711,1.85384,0.0802575,75.9813,Possible rotor imbalance | Possible overheating | Possible valve blockage,WARNING,Inspect rotor alignment and bearings
9433,-1,-0.0344435376802499,Anomaly,89.0561,0.054711,1.41986,0.0811273999999999,74.9813,Possible rotor imbalance | Possible overheating | Possible valve blockage,WARNING,Inspect rotor alignment and bearings
9434,-1,-0.0482914341796352,Anomaly,88.8858,0.382638,1.81317,0.0813108999999999,74.0189,Possible rotor imbalance | Possible overheating | Possible valve blockage,WARNING,Inspect rotor alignment and bearings
9435,-1,-0.0417593204207411,Anomaly,89.0845,-0.2732159999999999,1.14729,0.0805508,75.0,Possible rotor imbalance | Possible overheating | Possible valve blockage,WARNING,Inspect rotor alignment and bearings
9436,-1,-0.0547836396681896,Anomaly,88.9849,0.054711,0.648619,0.0815845,75.0,Possible rotor imbalance | Possible overheating | Possible valve blockage,WARNING,Inspect rotor alignment and bearings
9437,-1,-0.0646360918315129,Anomaly,89.1008,-0.2732159999999999,0.686722,0.0806317,74.9813,Possible rotor imbalance | Possible overheating | Possible valve blockage,WARNING,Inspect rotor alignment and bearings
9438,-1,-0.0588957014659344,Anomaly,88.9293,0.382638,1.04295,0.0815506999999999,74.0189,Possible rotor imbalance | Possible overheating | Possible valve blockage,WARNING,Inspect rotor alignment and bearings
9439,-1,-0.0343371291863926,Anomaly,88.92299999999999,0.054711,1.58388,0.0807301,75.0,Possible rotor imbalance | Possible overheating | Possible valve blockage,WARNING,Inspect rotor alignment and bearings
9440,-1,-0.0082758243806311,Anomaly,88.5358,0.054711,1.7546700000000002,0.0813851999999999,75.0189,Possible rotor imbalance | Possible overheating | Possible valve blockage,WARNING,Inspect rotor alignment and bearings
9441,-1,-0.0529899851405908,Anomaly,88.8569,0.382638,1.00754,0.0810947,75.9813,Possible rotor imbalance | Possible overheating | Possible valve blockage,WARNING,Inspect rotor alignment and bearings
9442,-1,-0.034464654577254,Anomaly,88.8944,0.382638,0.880192,0.0804462,75.0189,Possible rotor imbalance | Possible overheating | Possible valve blockage,WARNING,Inspect rotor alignment and bearings
9443,-1,-0.0381505100061755,Anomaly,88.9382,0.054711,1.71151,0.0822415,75.9813,Possible rotor imbalance | Possible overheating | Possible valve blockage,WARNING,Inspect rotor alignment and bearings
9444,-1,-0.0171712947177805,Anomaly,89.0223,-0.2732159999999999,1.6946599999999998,0.0806038999999999,75.0,Possible rotor imbalance | Possible overheating | Possible valve blockage,WARNING,Inspect rotor alignment and bearings
9445,-1,-0.0251605210780136,Anomaly,88.7808,0.382638,1.63851,0.0811294,75.0,Possible rotor imbalance | Possible overheating | Possible valve blockage,WARNING,Inspect rotor alignment and bearings
9446,-1,-0.0413835781739898,Anomaly,89.0067,0.382638,1.24484,0.0815355,75.0,Possible rotor imbalance | Possible overheating | Possible valve blockage,WARNING,Inspect rotor alignment and bearings
